label,Q1,Q2,R
v1,8000,60,1
v2,9000,60,1

v3,100000000,10,1
v4,10000000,100,1
v5,1000000,100,1
v6,10000000,10,1
v7,1000,1000,1
v8,1000000000,10,1
v9,10000000000,10,1
v10,100000000,32,1
v11,3981072,16,1
v12,208929613,13,1
v13,794328234,251,1
v14,60000,58000,1
v15,2691534,1778,1
